location_id,location_name
700,4241 Vemmelev
701,4242 Boeslunde
702,4243 Rude
703,4244 Agersø
704,4245 Omø
705,4250 Fuglebjerg
706,4261 Dalmose
707,4262 Sandved
708,4270 Høng
709,4281 Gørlev
710,4291 Ruds Vedby
711,4293 Dianalund
712,4295 Stenlille
713,4296 Nyrup
714,4300 Holbæk
715,4305 Orø
716,4320 Lejre
717,4330 Hvalsø
718,4340 Tølløse
719,4350 Ugerløse
720,4360 Kirke Eskilstrup
721,4370 Store Merløse
722,4390 Vipperød
723,4400 Kalundborg
724,4420 Regstrup
725,4440 Mørkøv
726,4450 Jyderup
727,4460 Snertinge
728,4470 Svebølle
729,4480 Store Fuglede
730,4490 Jerslev Sjælland
731,4500 Nykøbing Sj
732,4520 Svinninge
733,4532 Gislinge
734,4534 Hørve
735,4540 Fårevejle
736,4550 Asnæs
737,4560 Vig
738,4571 Grevinge
739,4572 Nørre Asmindrup
740,4573 Højby
741,4581 Rørvig
742,4583 Sjællands Odde
743,4591 Føllenslev
744,4592 Sejerø
745,4593 Eskebjerg
746,4600 Køge
747,4621 Gadstrup
748,4622 Havdrup
749,4623 Lille Skensved
750,4632 Bjæverskov
751,4640 Faxe
752,4652 Hårlev
753,4653 Karise
754,4654 Faxe Ladeplads
755,4660 Store Heddinge
756,4671 Strøby
757,4672 Klippinge
758,4673 Rødvig Stevns
759,4681 Herfølge
760,4682 Tureby
761,4683 Rønnede
762,4684 Holmegaard
763,4690 Haslev
764,4700 Næstved
765,4720 Præstø
766,4733 Tappernøje
767,4735 Mern
768,4736 Karrebæksminde
769,4750 Lundby
770,4760 Vordingborg
771,4771 Kalvehave
772,4772 Langebæk
773,4773 Stensved
774,4780 Stege
775,4791 Borre
776,4792 Askeby
777,4793 Bogø By
778,4800 Nykøbing F
779,4840 Nørre Alslev
780,4850 Stubbekøbing
781,4862 Guldborg
782,4863 Eskilstrup
783,4871 Horbelev
784,4872 Idestrup
785,4873 Væggerløse
786,4874 Gedser
787,4880 Nysted
788,4891 Toreby L
789,4892 Kettinge
790,4894 Øster Ulslev
791,4895 Errindlev
792,4900 Nakskov
793,4912 Harpelunde
794,4913 Horslunde
795,4920 Søllested
796,4930 Maribo
797,4941 Bandholm
798,4942 Askø-Lilleø
799,4943 Torrig L
800,4944 Fejø
801,4945 Femø
802,4951 Nørreballe
803,4952 Stokkemarke
804,4953 Vesterborg
805,4960 Holeby
806,4970 Rødby
807,4983 Dannemare
808,4990 Sakskøbing
809,5000 Odense C
810,5200 Odense V
811,5210 Odense NV
812,5220 Odense SØ
813,5230 Odense M
814,5240 Odense NØ
815,5250 Odense SV
816,5260 Odense S
817,5270 Odense N
818,5290 Marslev
819,5300 Kerteminde
820,5320 Agedrup
821,5330 Munkebo
822,5350 Rynkeby
823,5370 Mesinge
824,5380 Dalby
825,5390 Martofte
826,5400 Bogense
827,5450 Otterup
828,5462 Morud
829,5463 Harndrup
830,5464 Brenderup Fyn
831,5466 Asperup
832,5471 Søndersø
833,5474 Veflinge
834,5485 Skamby
835,5491 Blommenslyst
836,5492 Vissenbjerg
837,5500 Middelfart
838,5540 Ullerslev
839,5550 Langeskov
840,5560 Aarup
841,5580 Nørre Aaby
842,5591 Gelsted
843,5592 Ejby
844,5600 Faaborg
845,5602 Avernakø
846,5603 Bjørnø
847,5610 Assens
848,5620 Glamsbjerg
849,5631 Ebberup
850,5642 Millinge
851,5672 Broby
852,5683 Haarby
853,5690 Tommerup
854,5700 Svendborg
855,5750 Ringe
856,5762 Vester Skerninge
857,5771 Stenstrup
858,5772 Kværndrup
859,5792 Årslev
860,5800 Nyborg
861,5853 Ørbæk
862,5854 Gislev
863,5856 Ryslinge
864,5863 Ferritslev Fyn
865,5871 Frørup
866,5874 Hesselager
867,5881 Skårup Fyn
868,5882 Vejstrup
869,5883 Oure
870,5884 Gudme
871,5892 Gudbjerg Sydfyn
872,5900 Rudkøbing
873,5932 Humble
874,5935 Bagenkop
875,5943 Strynø
876,5953 Tranekær
877,5960 Marstal
878,5970 Ærøskøbing
879,5985 Søby Ærø
880,6000 Kolding
881,6040 Egtved
882,6051 Almind
883,6052 Viuf
884,6064 Jordrup
885,6070 Christiansfeld
886,6091 Bjert
887,6092 Sønder Stenderup
888,6093 Sjølund
889,6094 Hejls
890,6100 Haderslev
891,6200 Aabenraa
892,6210 Barsø
893,6230 Rødekro
894,6240 Løgumkloster
895,6261 Bredebro
896,6270 Tønder
897,6280 Højer
898,6300 Gråsten
899,6310 Broager
900,6320 Egernsund
901,6330 Padborg
902,6340 Kruså
903,6360 Tinglev
904,6372 Bylderup-Bov
905,6392 Bolderslev
906,6400 Sønderborg
907,6430 Nordborg
908,6440 Augustenborg
909,6470 Sydals
910,6500 Vojens
911,6510 Gram
912,6520 Toftlund
913,6534 Agerskov
914,6535 Branderup J
915,6541 Bevtoft
916,6560 Sommersted
917,6580 Vamdrup
918,6600 Vejen
919,6621 Gesten
920,6622 Bække
921,6623 Vorbasse
922,6630 Rødding
923,6640 Lunderskov
924,6650 Brørup
925,6660 Lintrup
926,6670 Holsted
927,6682 Hovborg
928,6683 Føvling
929,6690 Gørding
930,6700 Esbjerg
931,6705 Esbjerg Ø
932,6710 Esbjerg V
933,6715 Esbjerg N
934,6720 Fanø
935,6731 Tjæreborg
936,6740 Bramming
937,6752 Glejbjerg
938,6753 Agerbæk
939,6760 Ribe
940,6771 Gredstedbro
941,6780 Skærbæk
942,6792 Rømø
943,6800 Varde
944,6818 Årre
945,6823 Ansager
946,6830 Nørre Nebel
947,6840 Oksbøl
948,6851 Janderup Vestj
949,6852 Billum
950,6853 Vejers Strand
951,6854 Henne
952,6855 Outrup
953,6857 Blåvand
954,6862 Tistrup
955,6870 Ølgod
956,6880 Tarm
957,6893 Hemmet
958,6900 Skjern
959,6920 Videbæk
960,6933 Kibæk
961,6940 Lem St
962,6950 Ringkøbing
963,6960 Hvide Sande
964,6971 Spjald
965,6973 Ørnhøj
966,6980 Tim
967,6990 Ulfborg
968,7000 Fredericia
969,7080 Børkop
970,7100 Vejle
971,7120 Vejle Øst
972,7130 Juelsminde
973,7140 Stouby
974,7150 Barrit
975,7160 Tørring
976,7171 Uldum
977,7173 Vonge
978,7182 Bredsten
979,7183 Randbøl
980,7184 Vandel
981,7190 Billund
982,7200 Grindsted
983,7250 Hejnsvig
984,7260 Sønder Omme
985,7270 Stakroge
986,7280 Sønder Felding
987,7300 Jelling
988,7321 Gadbjerg
989,7323 Give
990,7330 Brande
991,7361 Ejstrupholm
992,7362 Hampen
993,7400 Herning
994,7430 Ikast
995,7441 Bording
996,7442 Engesvang
997,7451 Sunds
998,7470 Karup J
999,7480 Vildbjerg
1000,7490 Aulum
1001,7500 Holstebro
1002,7540 Haderup
1003,7550 Sørvad
1004,7560 Hjerm
1005,7570 Vemb
1006,7600 Struer
1007,7620 Lemvig
1008,7650 Bøvlingbjerg
1009,7660 Bækmarksbro
1010,7673 Harboøre
1011,7680 Thyborøn
1012,7700 Thisted
1013,7730 Hanstholm
1014,7741 Frøstrup
1015,7742 Vesløs
1016,7752 Snedsted
1017,7755 Bedsted Thy
1018,7760 Hurup Thy
1019,7770 Vestervig
1020,7790 Thyholm
1021,7800 Skive
1022,7830 Vinderup
1023,7840 Højslev
1024,7850 Stoholm Jyll
1025,7860 Spøttrup
1026,7870 Roslev
1027,7884 Fur
1028,7900 Nykøbing M
1029,7950 Erslev
1030,7960 Karby
1031,7970 Redsted M
1032,7980 Vils
1033,7990 Øster Assels
1034,8000 Aarhus C
1035,8200 Aarhus N
1036,8210 Aarhus V
1037,8220 Brabrand
1038,8230 Åbyhøj
1039,8240 Risskov
1040,8250 Egå
1041,8260 Viby J
1042,8270 Højbjerg
1043,8300 Odder
1044,8305 Samsø
1045,8310 Tranbjerg J
1046,8320 Mårslet
1047,8330 Beder
1048,8340 Malling
1049,8350 Hundslund
1050,8355 Solbjerg
1051,8361 Hasselager
1052,8362 Hørning
1053,8370 Hadsten
1054,8380 Trige
1055,8381 Tilst
1056,8382 Hinnerup
1057,8400 Ebeltoft
1058,8410 Rønde
1059,8420 Knebel
1060,8444 Balle
1061,8450 Hammel
1062,8462 Harlev J
1063,8464 Galten
1064,8471 Sabro
1065,8472 Sporup
1066,8500 Grenaa
1067,8520 Lystrup
1068,8530 Hjortshøj
1069,8541 Skødstrup
1070,8543 Hornslet
1071,8544 Mørke
1072,8550 Ryomgård
1073,8560 Kolind
1074,8570 Trustrup
1075,8581 Nimtofte
1076,8585 Glesborg
1077,8586 Ørum Djurs
1078,8592 Anholt
1079,8600 Silkeborg
1080,8620 Kjellerup
1081,8632 Lemming
1082,8641 Sorring
1083,8643 Ans By
1084,8653 Them
1085,8654 Bryrup
1086,8660 Skanderborg
1087,8670 Låsby
1088,8680 Ry
1089,8700 Horsens
1090,8721 Daugård
1091,8722 Hedensted
1092,8723 Løsning
1093,8732 Hovedgård
1094,8740 Brædstrup
1095,8751 Gedved
1096,8752 Østbirk
1097,8762 Flemming
1098,8763 Rask Mølle
1099,8765 Klovborg
1100,8766 Nørre Snede
1101,8781 Stenderup
1102,8783 Hornsyld
1103,8789 Endelave
1104,8799 Tunø
1105,8800 Viborg
1106,8830 Tjele
1107,8831 Løgstrup
1108,8832 Skals
1109,8840 Rødkærsbro
1110,8850 Bjerringbro
1111,8860 Ulstrup
1112,8870 Langå
1113,8881 Thorsø
1114,8882 Fårvang
1115,8883 Gjern
1116,8900 Randers C
1117,8920 Randers NV
1118,8930 Randers NØ
1119,8940 Randers SV
1120,8950 Ørsted
1121,8960 Randers SØ
1122,8961 Allingåbro
1123,8963 Auning
1124,8970 Havndal
1125,8981 Spentrup
1126,8983 Gjerlev J
1127,8990 Fårup
1128,9000 Aalborg
1129,9200 Aalborg SV
1130,9210 Aalborg SØ
1131,9220 Aalborg Øst
1132,9230 Svenstrup J
1133,9240 Nibe
1134,9260 Gistrup
1135,9270 Klarup
1136,9280 Storvorde
1137,9293 Kongerslev
1138,9300 Sæby
1139,9310 Vodskov
1140,9320 Hjallerup
1141,9330 Dronninglund
1142,9340 Asaa
1143,9352 Dybvad
1144,9362 Gandrup
1145,9370 Hals
1146,9380 Vestbjerg
1147,9381 Sulsted
1148,9382 Tylstrup
1149,9400 Nørresundby
1150,9430 Vadum
1151,9440 Aabybro
1152,9460 Brovst
1153,9480 Løkken
1154,9490 Pandrup
1155,9492 Blokhus
1156,9493 Saltum
1157,9500 Hobro
1158,9510 Arden
1159,9520 Skørping
1160,9530 Støvring
1161,9541 Suldrup
1162,9550 Mariager
1163,9560 Hadsund
1164,9574 Bælum
1165,9575 Terndrup
1166,9600 Aars
1167,9610 Nørager
1168,9620 Aalestrup
1169,9631 Gedsted
1170,9632 Møldrup
1171,9640 Farsø
1172,9670 Løgstør
1173,9681 Ranum
1174,9690 Fjerritslev
1175,9700 Brønderslev
1176,9740 Jerslev J
1177,9750 Østervrå
1178,9760 Vrå
1179,9800 Hjørring
1180,9830 Tårs
1181,9850 Hirtshals
1182,9870 Sindal
1183,9881 Bindslev
1184,9900 Frederikshavn
1185,9940 Læsø
1186,9970 Strandby
1187,9981 Jerup
1188,9982 Ålbæk
1189,9990 Skagen
1190,3900 Nuuk
1191,3905 Nuussuaq
1192,3910 Kangerlussuaq
1193,3911 Sisimiut
1194,3912 Maniitsoq
1195,3913 Tasiilaq
1196,3915 Kulusuk
1197,3919 Alluitsup Paa
1198,3920 Qaqortoq
1199,3921 Narsaq
1200,3922 Nanortalik
1201,3923 Narsarsuaq
1202,3924 Ikerasassuaq
1203,3930 Kangilinnguit
1204,3932 Arsuk
1205,3940 Paamiut
1206,3950 Aasiaat
1207,3951 Qasigiannguit
1208,3952 Ilulissat
1209,3953 Qeqertarsuaq
1210,3955 Kangaatsiaq
1211,3961 Uummannaq
1212,3962 Upernavik
1213,3964 Qaarsut
1214,3970 Pituffik
1215,3971 Qaanaaq
1216,3972 Station Nord
1217,3980 Ittoqqortoormiit
1218,3982 Mestersvig
1219,3984 Danmarkshavn
1220,3985 Constable Pynt
1221,Danmark
15177,Trekantområdet
15178,Sjælland
15179,Fyn
15180,Sydjylland
15181,Sønderjylland
15182,Storkøbenhavn
15183,Jylland
15184,Øresundsregionen
15185,Udlandet
15186,Københavns vestegn
15187,Nordsjælland
15188,Sydsjælland
15189,Midtsjælland
15190,Vestsjælland
15191,1000-1499 København K
15192,1500-1799 København V
15193,1800-1999 Frederiksberg C
15194,Vestjylland
15195,Østjylland
15199,Aruba
15203,Anguilla
15207,Antigua og Barbuda
15211,Saint Barthélemy
15215,Bermuda
15219,Bahamas
15223,Belize
15227,Barbados
15231,Costa Rica
15235,Curaçao
15239,Cuba
15243,Caymanøerne
15247,Dominica
15251,Grenada
15255,Den Dominikanske Republik
15259,Guatemala
15263,Honduras
15267,Haiti
15271,Grønland
15275,Jamaica
15279,Saint Kitts og Nevis
15283,Saint Lucia
15287,Saint Martin
15291,Montserrat
15295,Mexico
15299,Panama
15303,Nicaragua
15307,Puerto Rico
15311,Canada
15315,Saint Pierre og Miquelon
15319,El Salvador
15323,Sint Maarten
15327,Turks- og Caicosøerne
15331,Trinidad og Tobago
15335,Amerikanske oversøiske øer
15339,Saint Vincent og Grenadinerne
15343,De Britiske Jomfruøer
15347,De Amerikanske Jomfruøer
15351,Bolivia
15355,Argentina
15359,USA
15363,Brasilien
15367,Colombia
15371,Ecuador
15375,Falklandsøerne
15379,Chile
15383,Guyana
15387,Paraguay
15391,Peru
15395,Surinam
15399,Uruguay
15403,Afghanistan
15407,Venezuela
15411,De Forenede Arabiske Emirater
15415,Armenien
15419,Aserbajdsjan
15423,Bahrain
15427,Brunei
15431,Bhutan
15435,Bangladesh
15439,Cypern
15443,Georgien
15447,Kina
15451,Hongkong SAR
15455,Indien
15459,Iran
15463,Irak
15467,Israel
15471,Jordan
15475,Japan
15479,Indonesien
15483,Cambodja
15487,Kasakhstan
15491,Kirgisistan
15495,Kuwait
15499,Sydkorea
15503,Libanon
15507,Sri Lanka
15511,Laos
15515,Macao SAR
15519,Myanmar (Burma)
15523,Mongoliet
15527,Nepal
15531,Malaysia
15535,Pakistan
15539,Oman
15543,Nordkorea
15547,De palæstinensiske områder
15551,Qatar
15555,Saudi-Arabien
15559,Singapore
15563,Syrien
15567,Filippinerne
15571,Thailand
15575,Tadsjikistan
15579,Timor-Leste
15583,Turkmenistan
15587,Taiwan
15591,Usbekistan
15595,Yemen
15599,Vietnam
15603,Tyrkiet
15607,De franske besiddelser i Det Sydlige Indiske Ocean
15611,Heard Island og McDonald Islands
15615,Det britiske territorium i Det Indiske Ocean
15619,Maldiverne
15623,Mauritius
15627,South Georgia og South Sandwich Islands
15631,St. Helena
15635,Antarktis
15639,Amerikansk Samoa
15643,Seychellerne
15647,Cookøerne
15651,Fiji
15655,Mikronesiens Forenede Stater
15659,Australien
15663,Guam
15667,Nordmarianerne
15671,Kiribati
15675,Marshalløerne
15679,Ny Kaledonien
15683,Norfolk Island
15687,Niue
15691,Nauru
15695,Pitcairn
15699,Palau
15703,New Zealand
15707,Fransk Polynesien
15711,Tonga
15715,Salomonøerne
15719,Papua Ny Guinea
15723,Tuvalu
15727,Wallis og Futuna
15731,Samoa
15735,Vanuatu
15739,Åland
15743,Albanien
15747,Andorra
15751,Bulgarien
15755,Østrig
15759,Belgien
15763,Bosnien-Hercegovina
15767,Schweiz
15771,Hviderusland
15775,Tjekkiet
15779,Tyskland
15783,Estland
15787,Finland
15791,Frankrig
15795,Spanien
15799,Færøerne
15803,Guernsey
15807,Gibraltar
15811,Kroatien
15815,Storbritannien
15819,Grækenland
15823,Ungarn
15827,Isle of Man
15831,Irland
15835,Island
15839,Jersey
15843,Italien
15847,Kosovo
15851,Liechtenstein
15855,Litauen
15859,Luxembourg
15863,Letland
15867,Monaco
15871,Makedonien
15875,Malta
15879,Moldova
15883,Montenegro
15887,Holland
15891,Polen
15895,Rumænien
15899,Portugal
15903,San Marino
15907,Serbien
15911,Slovakiet
15915,Slovenien
15919,Ukraine
15923,Rusland
15927,Vatikanstaten
15931,Angola
15935,Burundi
15939,Benin
15943,Burkina Faso
15947,Botswana
15951,Den Centralafrikanske Republik
15955,Cameroun
15959,Congo-Kinshasa
15963,Elfenbenskysten
15967,Comorerne
15971,Congo-Brazzaville
15975,Djibouti
15979,Kap Verde
15983,Algeriet
15987,Egypten
15991,Eritrea
15995,Gabon
15999,Etiopien
16003,Ghana
16007,Guinea
16011,Guinea-Bissau
16015,Ækvatorialguinea
16019,Gambia
16023,Kenya
16027,Liberia
16031,Lesotho
16035,Marokko
16039,Libyen
16043,Madagaskar
16047,Mali
16051,Mauretanien
16055,Mozambique
16059,Namibia
16063,Malawi
16067,Nigeria
16071,Niger
16075,Rwanda
16079,Vestsahara
16083,Sudan
16087,Senegal
16091,Sydsudan
16095,Sierra Leone
16099,São Tomé og Príncipe
16103,Swaziland
16107,Somalia
16111,Togo
16115,Tchad
16119,Tunesien
16123,Uganda
16127,Tanzania
16131,Zimbabwe
16135,Sydafrika
16139,Zambia
16147,Sverige
16148,Norge
16149,Skåne
16150,Skandinavien
16151,Norden
16152,Den Europæiske Union
16153,Europæisk Økonomisk Samarbejdsområde
16154,Europa
